Product,Entity,Operation,Campaign ID,Ad Group ID,Portfolio ID,Ad ID,Keyword ID,Product Targeting ID,Campaign Name,Ad Group Name,Start Date,End Date,Targeting Type,State,Daily Budget,SKU,Ad Group Default Bid,Bid,Keyword Text,Native Language Keyword,Native Language Locale,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,NT15511A [GLSP - JN]P - ACV Supplement,,,,Manual,Enabled,100,,,,,,,,Fixed Bid,,,
Sponsored Products,Ad Group,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,NT15511A [GLSP - JN]P - ACV Supplement,,,,Enabled,,,1,,,,,,,,,
Sponsored Products,Product Ad,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,NT15511A,,,,,,,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,apple cider vinegar tablets,,,Phrase,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,gummies apple cider vinegar,,,Phrase,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,appl cider vinegar gummies,,,Phrase,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,apple cider pills,,,Phrase,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,apple cider vinegar gums,,,Phrase,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,vinegar apple cider gummies,,,Phrase,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,apple cider vinegar capsule,,,Phrase,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,apple cider vinegar softgels,,,Phrase,,,,
Sponsored Products,Keyword,Create,NT15511A [GLSP - JN]P - ACV Supplement,NT15511A [GLSP - JN]P - ACV Supplement,,,,,,,,,,Enabled,,,,0.69,apple cider vinegar tablet,,,Phrase,,,,
